HESAP_KOD;HESAP_ADI
100;KASA
101;ALINAN
102;BANKA
103;VERİLEN
104;PROJE
105;DÖVİZ
106;DÖVİZ
108;DİĞER
109;BANKA
110;HİSSE
111;ÖZEL
112;KAMU
117;MENKUL
120;GELİRLERDEN
121;GELİRLERDEN
122;GELİRLERDEN
126;VERİLEN
127;DİĞER
132;KURUMCA
137;TAKİPTEKİ
139;DİĞER
140;KİŞİLERDEN
150;İLK
153;TİCARİ
157;DİĞER
160;İŞ
161;PERSONEL
162;BÜTÇE
164;AKREDİTİFLER
165;MAHSUP
166;PROJE
167;DOĞRUDAN
180;GELECEK
190;DEVREDEN
191;İNDİRİLECEK
197;SAYIM
198;DİĞER
217;MENKUL
220;GELİRLERDEN
222;GELİRLERDEN
226;VERİLEN
227;DİĞER
232;KURUMCA
239;DİĞER
240;MALİ
241;MAL
247;SERMAYE
250;ARAZİ
251;YERALTI
252;BİNALAR
253;TESİS,
254;TAŞITLAR
255;DEMİRBAŞLAR
256;HİZMET
257;BİRİKMİŞ
258;YAPILMAKTA
259;YATIRIM
260;HAKLAR
264;ÖZEL
268;BİRİKMİŞ
280;GELECEK
281;GELİR
294;ELDEN
297;DİĞER
299;BİRİKMİŞ
300;BANKA
303;KAMU
304;CARİ
307;FİNANSAL
308;ERTELENMİŞ
309;KISA
310;CARİ
320;BÜTÇE
322;BÜTÇELEŞTİRİLECEK
329;DİĞER
330;ALINAN
333;EMANETLER
340;ALINAN
349;ALINAN
360;ÖDENECEK
361;ÖDENECEK
362;FONLAR
363;KAMU
368;VADESİ
372;KIDEM
379;DİĞER
380;GELECEK
381;GİDER
391;HESAPLANAN
397;SAYIM
399;DİĞER
400;BANKA
403;KAMU
404;TAHVİLLER
407;FİNANSAL
408;ERTELENMİŞ
409;UZUN
410;DIŞ
429;DİĞER
430;ALINAN
438;KAMUYA
440;ALINAN
449;ALINAN
472;KIDEM
479;DİĞER
480;GELECEK
481;GİDER
499;DİĞER
500;NET
511;MUHASEBE
519;DEĞER
570;GEÇMİŞ
580;GEÇMİŞ
590;DÖNEM
591;DÖNEM
600;GELİRLER
630;GİDERLER
690;FAALİYET
698;ENFLASYON
800;BÜTÇE
805;GELİR
810;BÜTÇE
830;BÜTÇE
834;GEÇEN
835;GİDER
895;BÜTÇE
900;GÖNDERİLECEK
901;BÜTÇE
902;BÜTÇE
903;KULLANILACAK
904;ÖDENEKLER
905;ÖDENEKLİ
906;MAHSUP
907;MAHSUP
910;ALINAN
911;ALINAN
912;KİŞİLERE
913;KİŞİLERE
914;VERİLEN
915;VERİLEN
920;GİDER
921;GİDER
922;KAMU-ÖZEL
923;KAMU-ÖZEL
930;VERİLEN
931;VERİLEN
934;BORÇ
935;BORÇ
948;BAŞKA
949;BAŞKA
990;KİRAYA
993;MADDİ
999;DİĞER
