HESAP_KOD;HESAP_ADI
100;KASA HESABI
101;ALINAN ÇEKLER HESABI
102;BANKA HESABI
103;VERİLEN ÇEKLER VE GÖNDERME EMİRLERİ HESABI 
104;PROJE ÖZEL HESABI
105;DÖVİZ HESABI
106;DÖVİZ GÖNDERME EMİRLERİ HESABI  
108;DİĞER HAZIR DEĞERLER HESABI
109;BANKA KREDİ KARTLARINDAN ALACAKLAR HESABI
110;HİSSE SENETLERİ HESABI
111;ÖZEL KESİM TAHVİL SENET VE BONOLARI HESABI
112;KAMU KESİMİ TAHVİL SENET VE BONOLARI HESABI
117;MENKUL VARLIKLAR HESABI
120;GELİRLERDEN  ALACAKLAR  HESABI
121;GELİRLERDEN TAKİPLİ ALACAKLAR HESABI
122;GELİRLERDEN TECİLLİ VE TEHİRLİ ALACAKLAR HESABI
126;VERİLEN DEPOZİTO VE TEMİNATLAR HESABI
127;DİĞER FAALİYET ALACAKLARI HESABI
132;KURUMCA VERİLEN BORÇLARDAN ALACAKLAR HESABI
137;TAKİPTEKİ KURUM ALACAKLARI HESABI
139;DİĞER KURUM ALACAKLARI HESABI
140;KİŞİLERDEN ALACAKLAR HESABI
150;İLK MADDE VE MALZEME  HESABI
153;TİCARİ MALLAR HESABI
157;DİĞER STOKLAR HESABI
160;İŞ AVANS VE KREDİLERİ HESABI
161;PERSONEL AVANSLARI HESABI
162;BÜTÇE DIŞI AVANS VE KREDİLER HESABI
164;AKREDİTİFLER HESABI
165;MAHSUP DÖNEMİNE AKTARILAN AVANS VE KREDİLER HESABI
166;PROJE ÖZEL HESABINDAN VERİLEN AVANS VE AKREDİTİFLER HESABI
167;DOĞRUDAN DIŞ PROJE KREDİ KULLANIMLARI AVANS VE AKREDİFLERİ HESABI
180;GELECEK AYLARA AİT GİDERLER HESABI
190;DEVREDEN KATMA DEĞER VERGİSİ HESABI
191;İNDİRİLECEK KATMA DEĞER VERGİSİ HESABI
197;SAYIM NOKSANLARI HESABI
198;DİĞER ÇEŞİTLİ DÖNEN VARLIKLAR HESABI
217;MENKUL VARLIKLAR HESABI
220;GELİRLERDEN ALACAKLAR HESABI
222;GELİRLERDEN TECİLLİ VE TEHİRLİ ALACAKLAR HESABI
226;VERİLEN DEPOZİTO VE TEMİNATLAR HESABI
227;DİĞER FAALİYET ALACAKLARI HESABI
232;KURUMCA VERİLEN BORÇLARDAN ALACAKLAR HESABI
239;DİĞER KURUM ALACAKLARI HESABI
240;MALİ KURULUŞLARA YATIRILAN SERMAYELER HESABI
241;MAL VE HİZMET ÜRETEN KURULUŞLARA YATIRILAN SERMAYELER HESABI
247;SERMAYE TAAHHÜTLERİ HESABI 
250;ARAZİ VE ARSALAR HESABI
251;YERALTI VE YERÜSTÜ DÜZENLERİ HESABI
252;BİNALAR HESABI
253;TESİS, MAKİNE VE CİHAZLAR HESABI
254;TAŞITLAR HESABI
255;DEMİRBAŞLAR HESABI
256;HİZMET İMTİYAZ VARLIKLARI HESABI
257;BİRİKMİŞ AMORTİSMANLAR HESABI 
258;YAPILMAKTA OLAN YATIRIMLAR HESABI
259;YATIRIM AVANSLARI HESABI
260;HAKLAR HESABI
264;ÖZEL MALİYETLER HESABI
268;BİRİKMİŞ AMORTİSMANLAR HESABI 
280;GELECEK YILLARA  AİT GİDERLER HESABI
281;GELİR TAHAKKUKLARI HESABI
294;ELDEN ÇIKARILACAK STOKLAR VE MADDİ DURAN VARLIKLAR HESABI
297;DİĞER ÇEŞİTLİ DURAN VARLIKLAR HESABI
299;BİRİKMİŞ AMORTİSMANLAR HESABI 
300;BANKA KREDİLERİ HESABI
303;KAMU İDARELERİNE MALİ BORÇLAR HESABI
304;CARİ YILDA ÖDENECEK TAHVİLLER HESABI
307;FİNANSAL KİRALAMA İŞLEMLERİNDEN BORÇLAR HESABI
308;ERTELENMİŞ FİNANSAL KİRALAMA BORÇLANMA MALİYETLERİ HESABI
309;KISA VADELİ DİĞER İÇ MALİ BORÇLAR HESABI
310;CARİ YILDA ÖDENECEK DIŞ MALİ BORÇLAR HESABI
320;BÜTÇE EMANETLERİ HESABI
322;BÜTÇELEŞTİRİLECEK BORÇLAR HESABI
329;DİĞER ÇEŞİTLİ BORÇLAR HESABI
330;ALINAN DEPOZİTO VE TEMİNATLAR HESABI
333;EMANETLER HESABI
340;ALINAN SİPARİŞ AVANSLARI HESABI
349;ALINAN DİĞER AVANSLAR HESABI
360;ÖDENECEK VERGİ VE FONLAR HESABI
361;ÖDENECEK SOSYAL GÜVENLİK KESİNTİLERİ HESABI
362;FONLAR VEYA DİĞER KAMU İDARELERİ  ADINA YAPILAN TAHSİLAT HESABI
363;KAMU İDARELERİ PAYLARI HESABI
368;VADESİ GEÇMİŞ, ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ VERGİ VE DİĞER YÜKÜMLÜLÜKLER HESABI
372;KIDEM TAZMİNATI KARŞILIĞI HESABI
379;DİĞER BORÇ VE GİDER KARŞILIKLARI HESABI
380;GELECEK AYLARA AİT GELİRLER HESABI
381;GİDER TAHAKKUKLARI HESABI
391;HESAPLANAN KATMA DEĞER VERGİSİ HESABI
397;SAYIM FAZLALARI HESABI
