HESAP_KOD,HESAP_ADI,HESAP,KURUM,FREKANS
100,KASA HESABI,100 KASA,ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,1
100,KASA HESABI,100 KASA,ADANA BÜYÜKŞEHİR BELEDİYESİ_2015,1
100,KASA HESABI,100 KASA,ADANA BÜYÜKŞEHİR BELEDİYESİ_2017,1
100,KASA HESABI,100 KASA,ADANA BÜYÜKŞEHİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ_2015,1
100,KASA HESABI,100 KASA,ADANA SEYHAN BELEDİYESİ_2014,1
100,KASA HESABI,100 KASA,ADANA SEYHAN BELEDİYESİ_2016,1
100,KASA HESABI,100 KASA,ADANA YÜREĞİR BELEDİYESİ_2020,1
100,KASA HESABI,100 KASA,ADANA ÇUKUROVA BELEDİYESİ_2014,1
100,KASA HESABI,100 KASA,ADANA ÇUKUROVA BELEDİYESİ_2016,1
100,KASA HESABI,100 KASA,ADANA ÇUKUROVA BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ADANA İMAMOĞLU BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ADIYAMAN BELEDİYESİ_2013,1
100,KASA HESABI,100 KASA,ADIYAMAN KAHTA BELEDİYESİ_2018,7
100,KASA HESABI,100 KASA,ADIYAMAN ÇELİKHAN BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,AFYONKARAHİSAR BELEDİYESİ_2012,1
100,KASA HESABI,100 KASA,AFYONKARAHİSAR BELEDİYESİ_2015,1
100,KASA HESABI,100 KASA,AFYONKARAHİSAR BELEDİYESİ_2016,1
100,KASA HESABI,100 KASA,AFYONKARAHİSAR BELEDİYESİ_2017,2
100,KASA HESABI,100 KASA,AMASYA MERZİFON BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANKARA AKYURT BELEDİYESİ_2013,2
100,KASA HESABI,100 KASA,ANKARA AKYURT BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANKARA ALTINDAĞ BELEDİYESİ_2020,1
100,KASA HESABI,100 KASA,ANKARA AYAŞ BELEDİYESİ_2017,4
100,KASA HESABI,100 KASA,ANKARA BÜYÜKŞEHİR BELEDİYESİ_2015,2
100,KASA HESABI,100 KASA,ANKARA BÜYÜKŞEHİR BELEDİYESİ_2018,12
100,KASA HESABI,100 KASA,ANKARA ETİMESGUT BELEDİYESİ_2014,1
100,KASA HESABI,100 KASA,ANKARA ETİMESGUT BELEDİYESİ_2015,1
100,KASA HESABI,100 KASA,ANKARA ETİMESGUT BELEDİYESİ_2016,1
100,KASA HESABI,100 KASA,ANKARA ETİMESGUT BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANKARA GÖLBAŞI BELEDİYESİ_2014,1
100,KASA HESABI,100 KASA,ANKARA GÖLBAŞI BELEDİYESİ_2016,1
100,KASA HESABI,100 KASA,ANKARA GÖLBAŞI BELEDİYESİ_2017,1
100,KASA HESABI,100 KASA,ANKARA GÖLBAŞI BELEDİYESİ_2018,2
100,KASA HESABI,100 KASA,ANKARA KAHRAMANKAZAN BELEDİYESİ_2018,8
100,KASA HESABI,100 KASA,ANKARA KEÇİÖREN BELEDİYESİ_2017,2
100,KASA HESABI,100 KASA,ANKARA KEÇİÖREN BELEDİYESİ_2018,2
100,KASA HESABI,100 KASA,ANKARA KIZILCAHAMAM BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANKARA PURSAKLAR BELEDİYESİ_2018,13
100,KASA HESABI,100 KASA,ANKARA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (ASKİ)_2015,1
100,KASA HESABI,100 KASA,ANKARA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (ASKİ)_2017,1
100,KASA HESABI,100 KASA,ANKARA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (ASKİ)_2018,1
100,KASA HESABI,100 KASA,ANKARA SİNCAN BELEDİYESİ_2017,1
100,KASA HESABI,100 KASA,ANKARA SİNCAN BELEDİYESİ_2020,1
100,KASA HESABI,100 KASA,ANKARA YENİMAHALLE BELEDİYESİ_2014,1
100,KASA HESABI,100 KASA,ANKARA YENİMAHALLE BELEDİYESİ_2019,1
100,KASA HESABI,100 KASA,ANKARA ÇANKAYA BELEDİYESİ_2018,2
100,KASA HESABI,100 KASA,ANKARA ÇUBUK BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANTALYA ALANYA BELEDİYESİ_2015,1
100,KASA HESABI,100 KASA,ANTALYA ALANYA BELEDİYESİ_2016,1
100,KASA HESABI,100 KASA,ANTALYA BÜYÜKŞEHİR BELEDİYESİ_2016,2
100,KASA HESABI,100 KASA,ANTALYA DÖŞEMEALTI BELEDİYESİ_2016,2
100,KASA HESABI,100 KASA,ANTALYA KAŞ BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANTALYA KEMER BELEDİYESİ_2017,1
100,KASA HESABI,100 KASA,ANTALYA MANAVGAT BELEDİYESİ_2020,1
100,KASA HESABI,100 KASA,ANTALYA SERİK BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ_2013,1
100,KASA HESABI,100 KASA,ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ_2015,1
100,KASA HESABI,100 KASA,ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ_2016,1
100,KASA HESABI,100 KASA,ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ_2017,1
100,KASA HESABI,100 KASA,ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ_2018,1
100,KASA HESABI,100 KASA,AYDIN BELEDİYESİ EGE ET YAĞ SAN. TİC. A.Ş._2017,1
100,KASA HESABI,100 KASA,AYDIN BELEDİYESİ_2013,1
100,KASA HESABI,100 KASA,AYDIN EFELER BELEDİYESİ_2018,1
100,KASA HESABI,100 KASA,AYDIN SÖKE BELEDİYESİ_2018,2
100,KASA HESABI,100 KASA,AĞRI BELEDİYESİ_2012,1
100,KASA HESABI,100 KASA,BALIKESİR AYVALIK BELEDİYESİ_2015,1
