KURUM,HESAP,FREKANS
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,100 KASA,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,102 BANKA,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,109 BANKA,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,120 GELİRLERDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,121 GELİRLERDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,126 VERİLEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,140 KİŞİLERDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,150 İLK,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,162 BÜTÇE,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,167 DOĞRUDAN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,190 DEVREDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,220 GELİRLERDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,222 GELİRLERDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,240 MALİ,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,241 MAL,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,250 ARAZİ,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,251 YERALTI,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,252 BİNALAR,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,"253 TESİS,",1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,254 TAŞITLAR,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,255 DEMİRBAŞLAR,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,257 BİRİKMİŞ,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,258 YAPILMAKTA,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,260 HAKLAR,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,268 BİRİKMİŞ,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,294 ELDEN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,299 BİRİKMİŞ,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,300 BANKA,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,303 KAMU,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,309 KISA,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,320 BÜTÇE,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,330 ALINAN,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,333 EMANETLER,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,360 ÖDENECEK,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,361 ÖDENECEK,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,362 FONLAR,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,363 KAMU,1
ADANA BÜYÜKŞEHİR BELEDİYESİ_2013,368 VADESİ,1
