KURUM,YIL,LINK
ADANA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3753-adana-buyuksehir-belediyesi
ADANA CEYHAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3754-adana-ceyhan-belediyesi
ADANA ÇUKUROVA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3755-adana-cukurova-belediyesi
ADANA SEYHAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3756-adana-seyhan-belediyesi
ADANA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ ASKİ,2020,https://www.sayistay.gov.tr/reports/download/3757-adana-su-ve-kanalizasyon-idaresi-genel-m
ADANA YÜREĞİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3758-adana-yuregir-belediyesi
ADIYAMAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3759-adiyaman-belediyesi
AFYONKARAHİSAR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3760-afyonkarahisar-belediyesi
ANFA ANKARA ALTINPARK İŞLETMELERİ LİMİTED ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3761-anfa-ankara-altinpark-isletmeleri-limite
ANKARA ALTINDAĞ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3762-ankara-altindag-belediyesi
ANKARA BALA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3763-ankara-bala-belediyesi
ANKARA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3764-ankara-buyuksehir-belediyesi
ANKARA ÇANKAYA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3765-ankara-cankaya-belediyesi
ANKARA ÇUBUK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3766-ankara-cubuk-belediyesi
ANKARA ELEKTRİK HAVAGAZI VE OTOBÜS İŞLETME MÜESSESESİ GENEL MÜDÜRLÜĞÜ (EGO),2020,https://www.sayistay.gov.tr/reports/download/3767-ankara-elektrik-havagazi-ve-otobus-islet
ANKARA ELMADAĞ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3768-ankara-elmadag-belediyesi
ANKARA ETİMESGUT BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3769-ankara-etimesgut-belediyesi
ANKARA GÖLBAŞI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3770-ankara-golbasi-belediyesi
ANKARA HALK EKMEK VE UN FABRİKASI ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3771-ankara-halk-ekmek-ve-un-fabrikasi-anonim
ANKARA KALECİK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3772-ankara-kalecik-belediyesi
ANKARA KEÇİÖREN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3773-ankara-kecioren-belediyesi
ANKARA MAMAK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3774-ankara-mamak-belediyesi
ANKARA PURSAKLAR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3775-ankara-pursaklar-belediyesi
ANKARA SİNCAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3776-ankara-sincan-belediyesi
ANKARA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (ASKİ),2020,https://www.sayistay.gov.tr/reports/download/3777-ankara-su-ve-kanalizasyon-idaresi-genel
ANKARA YENİMAHALLE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3778-ankara-yenimahalle-belediyesi
ANSET ÖZEL SAĞLIK VE EĞİTİM KÜLTÜR İNŞ. TİC. LTD. ŞTİ.,2020,https://www.sayistay.gov.tr/reports/download/3779-anset-ozel-saglik-ve-egitim-kultur-ins-t
ANTALYA ALANYA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3780-antalya-alanya-belediyesi
ANTALYA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3781-antalya-buyuksehir-belediyesi
ANTALYA GAZİPAŞA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3782-antalya-gazipasa-belediyesi
ANTALYA KEPEZ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3783-antalya-kepez-belediyesi
ANTALYA KONYAALTI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3784-antalya-konyaalti-belediyesi
ANTALYA MANAVGAT BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3785-antalya-manavgat-belediyesi
ANTALYA MURATPAŞA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3786-antalya-muratpasa-belediyesi
ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3787-antalya-su-ve-atik-su-idaresi-genel-mudu
ANTEPE İNŞAAT VE TİCARET A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3788-antepe-insaat-ve-ticaret-as
AYDIN BOZDOĞAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3789-aydin-bozdogan-belediyesi
AYDIN BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3790-aydin-buyuksehir-belediyesi-su-ve-kanali
AYDIN BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3791-aydin-buyuksehir-belediyesi
AYDIN ÇİNE BELEDİYESİ ÇİPAŞ A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3792-aydin-cine-belediyesi-cipas-as
AYDIN ÇİNE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3793-aydin-cine-belediyesi
AYDIN İMAR SANAYİ VE TİCARET A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3794-aydin-imar-sanayi-ve-ticaret-as
BALIKESİR BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3796-balikesir-buyuksehir-belediyesi
BALIKESİR KARESİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3797-balikesir-karesi-belediyesi
BALIKESİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (BASKİ),2020,https://www.sayistay.gov.tr/reports/download/3798-balikesir-su-ve-kanalizasyon-idaresi-gen
BALIKESİR SUSURLUK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3799-balikesir-susurluk-belediyesi
BARTIN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3800-bartin-belediyesi
BATMAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3801-batman-belediyesi
BAYBURT BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3802-bayburt-belediyesi
BELDETAŞ BELDE SAĞLIK SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3803-beldetas-belde-saglik-sanayi-ve-ticaret
BELKA ANKARA KATI ATIKLARI AYIKLAMA ENERJİ DEĞERLENDİRME BİLGİSAYAR İNŞAAT NAKLİYAT VE TAAHHÜT YEMEK SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3804-belka-ankara-kati-atiklari-ayiklama-ener
BEYOĞLU DÖNÜŞÜM KONUT İMAR PLAN TURİZM PERSONEL SANAYİ TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3805-beyoglu-donusum-konut-imar-plan-turizm-p
BOLU BEL SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3806-bolu-bel-sanayi-ve-ticaret-anonim-sirket
BOLU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3807-bolu-belediyesi
BURDUR AKARYAKIT HİZMETLERİ PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ BAHTAŞ,2020,https://www.sayistay.gov.tr/reports/download/3808-burdur-akaryakit-hizmetleri-pazarlama-sa
BURDUR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3809-burdur-belediyesi
BURSA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3810-bursa-buyuksehir-belediyesi
BURSA GEMLİK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3811-bursa-gemlik-belediyesi
BURSA İNEGÖL BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3812-bursa-inegol-belediyesi
BURSA NİLÜFER BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3813-bursa-nilufer-belediyesi
BURSA ORHANGAZİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3814-bursa-orhangazi-belediyesi
BURSA OSMANGAZİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3815-bursa-osmangazi-belediyesi
BURSA YILDIRIM BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3816-bursa-yildirim-belediyesi
