KURUM,YIL,BASLIK,BULGU_NO,BULGU_ADI,matches
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 1: Taşınır Mal Yönetimi Hesabı İcmal Cetvellerindeki Taşınır Tutarları ile Muhasebe Kayıtlarının Uyumlu Olmaması,BULGU 1, Taşınır Mal Yönetimi Hesabı İcmal Cetvellerindeki Taşınır Tutarları ile Muhasebe Kayıtlarının Uyumlu Olmaması,BULGU 1: Taşınır Mal Yönetimi Hesabı İcmal Cetvellerindeki Taşınır Tutarları ile Muhasebe Kayıtlarının Uyumlu Olmaması
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 2: Maddi Duran Varlıklar Amortisman İşlemlerinde Hatalar Bulunması,BULGU 2, Maddi Duran Varlıklar Amortisman İşlemlerinde Hatalar Bulunması,"BULGU 2: Maddi Duran Varlıklar Amortisman İşlemlerinde Hatalar Bulunması, BULGU 4: Maddi Duran Varlıklar Amortisman İşlemlerinde Hatalar Bulunması"
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 3: Mal ve Hizmet Üreten Kuruluşlara Yatırılan Sermayeler Hesabının Gerçek Durumu Yansıtmaması,BULGU 3, Mal ve Hizmet Üreten Kuruluşlara Yatırılan Sermayeler Hesabının Gerçek Durumu Yansıtmaması,BULGU 3: Mal ve Hizmet Üreten Kuruluşlara Yatırılan Sermayeler Hesabının Gerçek Durumu Yansıtmaması
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 4: Tahsisli Kullanılan ve Tahsis Edilen Taşınmazların Varlık Hesaplarında İzlenmemesi,BULGU 4, Tahsisli Kullanılan ve Tahsis Edilen Taşınmazların Varlık Hesaplarında İzlenmemesi,"BULGU 4: Tahsisli Kullanılan ve Tahsis Edilen Taşınmazların Varlık Hesaplarında İzlenmemesi, BULGU 2: Tahsisli Kullanılan ve Tahsis Edilen Taşınmazların Varlık Hesaplarında İzlenmemesi"
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 5: Yapılmakta Olan Yatırımlar Hesabının Kullanılmaması,BULGU 5, Yapılmakta Olan Yatırımlar Hesabının Kullanılmaması,"BULGU 5: Yapılmakta Olan Yatırımlar Hesabının Kullanılmaması, BULGU 6: Yapılmakta Olan Yatırımlar Hesabının Kullanılmaması"
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 1: Kiraya Verilen Duran Varlıkların Kayıtlı Değerleri ile Kira Tutarlarının Nazım Hesaplarda İzlenmemesi,BULGU 1, Kiraya Verilen Duran Varlıkların Kayıtlı Değerleri ile Kira Tutarlarının Nazım Hesaplarda İzlenmemesi,BULGU 1: Kiraya Verilen Duran Varlıkların Kayıtlı Değerleri ile Kira Tutarlarının Nazım Hesaplarda İzlenmemesi
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 2: Belediye Taşınmazlarının Ecrimisil Karşılığında Kullandırılması,BULGU 2, Belediye Taşınmazlarının Ecrimisil Karşılığında Kullandırılması,"BULGU 2: Belediye Taşınmazlarının Ecrimisil Karşılığında Kullandırılması, BULGU 2: Belediye Taşınmazlarının Ecrimisil Karşılığında Kullandırılması"
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 3: Belediye Taşınmazlarının Pazarlık Usulüyle Kiraya Verilmesi,BULGU 3, Belediye Taşınmazlarının Pazarlık Usulüyle Kiraya Verilmesi,BULGU 3: Belediye Taşınmazlarının Pazarlık Usulüyle Kiraya Verilmesi
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 4: Belediyeye Ait Taşınmazların Spor Kulübü ve Derneklere Tahsis Edilmesi,BULGU 4, Belediyeye Ait Taşınmazların Spor Kulübü ve Derneklere Tahsis Edilmesi,BULGU 4: Belediyeye Ait Taşınmazların Spor Kulübü ve Derneklere Tahsis Edilmesi
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 5: Büyükşehir Belediyesince Aktarılması Gereken Eğlence Vergisinin Takip ve Tahsilatının Sağlanmaması,BULGU 5, Büyükşehir Belediyesince Aktarılması Gereken Eğlence Vergisinin Takip ve Tahsilatının Sağlanmaması,"BULGU 5: Büyükşehir Belediyesince Aktarılması Gereken Eğlence Vergisinin Takip ve Tahsilatının Sağlanmaması, BULGU 4: Büyükşehir Belediyesince Aktarılması Gereken Eğlence Vergisinin Takip ve Tahsilatının Sağlanmaması"
ADANA ÇUKUROVA BELEDİYESİ_2020,2020,BULGU 6: Hazineye Ait Taşınmazların Satışından Belediyeye Gönderilmesi Gereken Payların Takibinin Yapılmaması,BULGU 6, Hazineye Ait Taşınmazların Satışından Belediyeye Gönderilmesi Gereken Payların Takibinin Yapılmaması,"BULGU 6: Hazineye Ait Taşınmazların Satışından Belediyeye Gönderilmesi Gereken Payların Takibinin Yapılmaması, BULGU 5: Hazineye Ait Taşınmazların Satışından Belediyeye Gönderilmesi Gereken Payların Takibinin Yapılmaması"
